,count,mean,std,min,25%,50%,75%,max
Adilabad,39841.0,40.35769684495871,23.566632933191656,3.3,21.0,37.4,55.1,238.2
Agartala,39136.0,57.027019879394935,42.86366203223971,1.5,23.8,43.9,80.4,393.1
Agra,41464.0,79.21510708084122,64.10560731274063,3.2,35.5,59.1,102.2,833.9
Ajodhya,39892.0,72.77314248470871,50.15212522223448,6.3,34.1,60.1,99.3,479.1
Aligarh,41744.0,81.91959443273284,60.4809584048553,5.3,37.0,64.1,109.3,592.4
Allahabad,39612.0,70.25688932646673,49.97134872975173,6.4,33.2,56.9,94.0,642.2
Ambala,41705.0,58.031492626783354,37.018033590014944,4.4,31.7,49.2,74.9,599.3
Ambikapur,30627.0,59.26509615698566,37.39501219205904,3.8,30.0,50.9,79.9,359.6
Amroha,41765.0,82.112154914402,62.27707162609873,2.2,37.0,64.1,110.6,822.0
Aonla,41840.0,79.18487452198852,58.094150581242225,4.8,36.0,62.6,106.9,650.4
Arambagh,41471.0,62.974537628704404,44.960759133272,2.7,27.9,49.6,88.4,558.3
Araria,41005.0,57.52415315205462,41.925414626904356,2.5,24.7,45.4,80.4,556.4
Arrah,41798.0,75.51936336666826,58.16340645448992,5.3,32.6,58.2,103.6,696.3
Asansol,41470.0,64.56989269351338,43.62797131202721,2.2,31.0,53.6,88.1,697.6
Ashoknagar,32600.0,53.83633742331288,33.616129079947825,6.5,27.9,45.95,72.2,420.3
Ashoknagar Kalyangarh,41996.0,63.36892561196305,48.978880574190704,2.1,26.2,47.4,89.1,629.1
Auraiya,39703.0,78.27190136765485,58.01987190238474,5.9,35.05,61.0,104.7,584.5
Aurangabad,39759.0,71.42666440302825,50.35584812307307,3.7,34.8,57.9,95.5,667.8
Azamgarh,39917.0,73.15733897838015,52.26033979013258,5.1,33.6,59.3,99.9,590.8
Azimpur,41335.0,71.70497157372687,58.85910407296615,1.5,27.8,51.2,99.7,547.1
Bada Barabil,31620.0,55.685705249841874,33.92608782501961,4.6,28.8,47.8,75.7,283.7
Bagaha,41676.0,60.4949119397255,43.11605174296765,4.5,26.2,49.0,85.3,443.9
Bago,30715.0,26.845012209018396,19.642712057380173,1.8,10.9,21.1,40.4,152.3
Bahadurgarh,38779.0,94.15695608447871,71.88539932479193,5.0,43.0,72.1,125.5,687.1
Baharampur,41993.0,63.793397709142,43.47860592685666,4.1,29.2,51.2,89.7,498.5
Baheri,41832.0,74.66626745075541,54.19116609051701,5.0,34.8,59.6,100.1,729.8
Bahraigh,39839.0,73.09946785812897,50.010577343650596,5.2,34.8,60.5,99.3,488.2
Baidyabati,41754.0,64.74809479331321,51.522624780496265,1.6,26.0,48.0,91.2,683.4
Baj Baj,41467.0,60.514289676128016,49.61627901458922,1.5,23.4,43.9,85.2,571.1
Balaghat,38971.0,48.23270380539376,28.72810913151992,5.8,25.0,42.5,65.3,285.8
Balangir,29735.0,48.1748141920296,28.686089268264524,4.8,25.6,41.7,64.5,316.7
Balasore,40699.0,50.481992186540225,32.45462386552838,4.6,24.6,41.1,69.7,247.7
Bali,41490.0,64.54951675102434,53.79946824174544,1.1,24.7,46.8,90.975,719.9
Balrampur,40023.0,69.13324213577194,46.80402388394678,5.6,32.9,57.6,94.3,444.0
Balurghat,40509.0,58.24988274210669,40.25801392973673,5.1,26.2,46.0,81.5,366.5
Banda,39543.0,66.84469311888323,48.874205805490796,6.2,31.0,52.6,87.75,703.2
Bangaon,41723.0,63.86185197612828,46.312305436306005,4.5,27.7,50.9,90.0,540.3
Bangaon.1,41995.0,63.175378021193,47.31552150377721,2.7,26.9,47.7,89.1,558.2
Bankra,41487.0,64.27678308867837,53.40597489849588,1.2,24.6,46.4,90.7,675.3
Bankura,41463.0,63.91274027446157,42.36624927946756,4.0,30.9,53.15000000000001,88.3,545.2
Bansbaria,41996.0,64.28751785884369,49.00299404214942,2.1,27.0,48.6,90.4,638.1
Barakpur,41938.0,64.46756998426248,51.49367034969313,1.6,25.7,47.7,90.7,689.5
Barasat,41994.0,63.75590084297757,51.474166224263485,1.5,25.2,46.9,89.4,695.6
Baraut,41799.0,84.72461542142157,64.41600769547235,5.0,39.1,65.4,112.5,811.3
Barbil,30633.0,52.304883622237455,32.80725496547,4.1,26.7,43.9,70.9,291.5
Barddhaman,41489.0,65.11011352406662,45.330182248533276,3.1,29.5,52.3,91.6,595.4
Bareilly,41836.0,77.4513971220958,56.27264955433627,5.2,35.4,61.6,104.7,649.8
Bargarh,29961.0,50.65080938553452,31.718774097834224,4.1,26.5,43.8,67.1,389.9
Barisal,41364.0,57.40233536408471,42.323067560248965,1.2,24.7,43.6,80.0,334.7
Baruni,41736.0,69.19345409239027,51.64618963522381,4.9,30.3,54.4,95.4,645.1
Basoda,30720.0,47.34020182291667,29.44200278630693,4.1,24.7,40.4,63.4,382.6
Basti,40047.0,69.8757035483307,48.04070318570337,6.0,32.7,57.7,95.9,481.0
Begusarai,41729.0,67.96388363008938,49.70347705349513,4.9,30.2,53.9,94.1,610.1
Bela,39802.0,73.79670870810511,52.22081896898623,6.6,34.4,60.2,99.7,622.1
Bellampalli,41329.0,40.11626581819061,23.03350336918967,4.1,20.8,36.9,55.1,254.1
Bettiah,41714.0,62.383711703504815,45.683788764242124,4.4,26.5,49.9,88.1,523.9
Betul,39110.0,45.174448990028125,26.087615842524315,3.9,23.9,40.3,61.1,299.2
Bhadohi,39716.0,74.93807659381609,55.977668150042916,4.3,34.0,59.8,100.6,698.9
Bhadrakh,30760.0,48.17649544863459,30.419047627091626,4.8,23.9,39.8,66.5,236.7
Bhadreswar,41920.0,64.52690004770993,50.74767759592386,1.7,26.2,48.1,90.8,671.5
Bhagalpur,41612.0,63.54844756320291,43.28437754847608,5.0,29.3,51.9,88.6,453.3
Bhairab Bazar,40165.0,60.80538777542636,46.20913540258087,1.6,25.2,45.9,85.6,419.6
Bhatapara,30386.0,48.99049891397354,28.696115678404137,6.6,26.0,42.7,66.6,275.5
Bhatpara,41994.0,64.25264085345525,50.06783938339798,1.9,26.3,48.1,90.4,661.0
Bhawanipatna,29789.0,45.112618751888284,26.079195699289624,5.6,24.4,39.0,60.9,313.1
Bhilai,30364.0,46.12042550388618,26.385004329164026,6.5,24.7,40.7,62.7,228.4
Bhind,39941.0,75.8007435968053,55.154178053280596,5.5,34.6,59.4,100.9,630.2
Bhiwani,41796.0,68.3025947459087,47.62859473712786,6.1,35.8,55.1,86.8,483.5
Bhola,41339.0,55.676533055952014,40.73140804975387,1.2,24.1,42.6,77.6,332.3
Bhongir,41346.0,42.06121994872539,24.670931800880766,2.7,21.3,37.9,59.2,243.3
Bhopal,30715.0,46.78537196809376,31.700704578239733,1.8,23.2,38.1,62.3,476.1
Bhubaneshwar,29204.0,46.89905834817148,30.05525693578239,4.0,23.7,38.9,63.5,274.3
Bihar Sharif,41296.0,72.8922389577683,54.779615210276255,5.1,32.7,57.3,99.0,710.3
Bijnor,41763.0,79.62583387208772,58.295637035884205,4.3,37.1,63.2,106.6,734.4
Bilaspur,30441.0,51.0005847376893,30.40520491396886,6.8,26.7,44.2,69.1,299.1
Bisalpur,41435.0,75.7845299867262,53.865377639378785,5.4,35.1,60.9,102.6,600.0
Bishnupur,41470.0,63.48707499397155,42.703335359019036,3.6,30.0,52.1,88.3,541.1
Biswan,39846.0,79.25671836570798,55.615104704464784,4.8,36.9,64.7,107.3,584.9
Bodhan,41335.0,39.53739566952945,22.725394235613905,3.4,20.0,36.5,54.9,233.5
Bogale,16608.0,25.940907996146436,18.91445311998976,2.8,8.4,22.3,39.3,138.6
Bogra,41174.0,59.75506387526109,42.232059558984254,5.0,26.5,46.3,83.7,354.0
Bokaro,37983.0,63.91725113866729,42.663448995269476,4.7,32.7,53.1,84.3,497.2
Bolpur,41487.0,66.01846723069877,44.80551295541412,3.8,30.7,54.3,92.4,598.3
Bongaigaon,32596.0,43.57404896306296,32.96977525663487,4.6,18.2,32.4,61.2,406.3
Brahmapur,29273.0,44.00507635022034,26.333366666161904,4.9,23.4,37.4,59.2,307.5
Brajarajnagar,30292.0,52.968631982041465,35.60735611524656,2.2,26.8,44.8,69.9,480.2
Budaun,41820.0,79.70415949306552,58.316717495233156,5.3,36.0,62.9,107.7,579.6
Bulandshahr,41779.0,89.63198137820436,70.65685669486369,1.7,37.3,68.1,123.1,678.3
Burhanpur,38446.0,43.6082167195547,23.33661573312125,5.9,24.4,39.9,58.7,326.5
Buxar,39948.0,74.79691974566936,53.61223465049707,5.5,34.5,60.0,101.8,641.6
Chaibasa,37750.0,58.539451655629136,35.44715801408875,5.4,31.0,50.0,78.7,316.0
Chandannagar,41994.0,64.36982306996238,50.13197630495955,1.9,26.3,48.2,90.6,663.0
Chandpur,41763.0,81.3372099705481,60.762900704488324,2.9,36.9,63.9,109.7,740.4
Chanduasi,41842.0,81.79289947899238,61.524086340080835,3.5,36.8,64.1,110.3,728.2
Chapra,41780.0,74.5756737673528,58.00161438237981,5.2,31.7,57.2,102.6,695.7
Charkhi Dadri,41505.0,73.99540055415011,51.323294692214965,5.7,38.2,60.2,95.1,526.3
Chas,40813.0,63.31936882855954,42.27502598098734,3.8,32.4,52.9,83.6,485.6
Chauk,2259.0,23.849181053563523,17.644356472159288,5.0,10.5,16.8,36.150000000000006,80.5
Chhatarpur,38440.0,58.550796045785646,41.02981183780766,4.8,28.1,47.0,76.9,601.6
Chhibramau,40064.0,81.19891174121405,58.901443010393095,5.7,36.7,64.0,109.5,593.5
Chhindwara,39043.0,46.70709730297364,28.04232476931497,4.8,24.1,41.2,63.0,312.9
Chittagong,30634.0,44.65090422406476,30.608382765451218,4.6,19.3,36.4,64.1,267.5
Comilla,39136.0,58.25061835650041,43.42919556701108,1.4,24.5,44.7,82.12499999999999,394.1
Contai,41418.0,51.20160920372785,36.06743714849311,3.5,22.7,40.2,71.8,329.2
Cox's Bazar,11311.0,36.86704093360446,23.26204015535218,5.2,16.3,31.8,53.9,130.9
Cuttack,29612.0,47.493988923409425,30.811038391995627,3.8,23.9,39.3,64.3,283.8
Dabra,39171.0,67.37747823645043,47.39563010078031,4.0,31.9,53.7,89.6,655.4
Dabwali,33519.0,53.72858378829917,33.517325439192,4.7,31.8,46.1,67.1,551.0
Dadri,41782.0,95.04843592934755,77.21815226323432,1.8,39.0,70.2,129.5,926.3
Daltonganj,39126.0,67.60172775136738,44.348844232363355,3.5,34.3,56.5,90.6,497.7
Dam Dam,41678.0,63.76308004222851,52.956383930867105,1.2,24.6,46.6,89.4,728.4
Damoh,30686.0,46.429857263898846,32.675380242665334,2.2,21.7,37.6,63.0,476.7
Darbhanga,41770.0,67.77236533397175,54.33733143455423,3.8,27.1,51.8,94.6,684.9
Darjiling,36783.0,47.04067096212924,33.943863194200354,3.5,19.7,37.7,66.4,388.2
Datia,39134.0,65.91469310573926,45.6944072837404,4.9,31.3,52.9,87.8,584.3
Dawei,23392.0,24.78630087209303,16.395108582207126,3.6,11.5,20.0,34.7,169.8
Dehri,39797.0,72.94211749629369,51.28115818528349,4.2,35.0,59.0,98.2,665.7
Delhi,41780.0,102.1515533748205,83.91286262514741,4.4,43.1,73.9,137.7,987.9
Deoband,41800.0,76.5160909090909,53.74581184518675,5.3,37.6,61.9,100.7,784.0
Deoria,41910.0,66.56578501550942,48.07902611111959,5.3,29.1,53.4,92.8,470.4
Dewas,32356.0,46.12005810359747,28.292291965271144,2.0,25.3,39.3,61.3,495.6
Dhaka,41335.0,71.71658158945202,59.044388054489545,1.5,27.7,51.2,99.8,552.5
Dhamtari,30253.0,44.80841899976862,25.223475618077373,6.3,24.3,39.8,61.0,226.7
Dhanbad,41284.0,63.91936464489876,43.319754847833735,3.6,32.1,53.2,84.8,484.1
Dhar,32779.0,47.50380731565941,26.27253491421118,4.7,27.5,41.8,63.4,573.4
Dhenkanal,29688.0,49.04342832120722,33.19337812873495,3.0,24.4,40.1,65.9,321.5
Dhuburi,33082.0,47.74406928238921,34.76530242968141,5.2,20.3,36.3,67.4,364.8
Dhulian,41695.0,62.34679218131671,41.837140114433296,4.7,28.85,50.75,87.5,466.4
Dibrugarh,31312.0,23.71185807358201,15.204155862828248,3.9,12.1,19.4,31.5,195.8
Dinajpur,38176.0,55.84526927912826,38.97721176135827,4.4,24.6,44.2,78.1,381.9
Dinapore,41777.0,77.10524331570002,61.81683245639002,4.6,32.2,58.4,105.1,745.3
Diphu,24078.0,33.88455021181161,24.893634001000187,2.6,14.6,26.4,47.4,324.2
Dumraon,41058.0,73.82526669589362,54.08277690728364,5.5,33.2,58.5,101.1,640.8
Durg,30357.0,45.666541489607,26.070329397944846,6.5,24.4,40.4,62.1,216.4
Durgapur,41485.0,67.50081595757503,47.254168277312395,3.7,30.9,55.9,93.2,627.2
Etawa,30728.0,48.121664280135384,30.060467406913755,4.6,25.0,41.3,64.4,416.8
Etawah,40074.0,78.04674227678794,56.93423527862884,6.2,35.4,61.1,104.0,601.9
Faridabad,41783.0,93.7146447119642,73.44065413393612,3.7,42.0,71.1,124.5,759.1
Faridpur,41811.0,77.25122336227308,55.86079286387841,5.3,35.3,61.5,104.4,617.1
Faridpur.1,41364.0,66.4995733004545,50.77860635047043,1.4,27.8,49.1,92.6,409.4
Farrukhabad,40274.0,81.13181705318569,58.32901651448609,5.6,36.9,64.4,109.6,583.5
Fatehabad,41751.0,62.09884194390553,42.34886921452206,2.9,34.4,51.9,77.6,640.5
Fatehpur,39613.0,75.64395526721026,55.30929402260003,5.1,34.7,60.0,100.5,724.3
Feni,39134.0,53.486244697705324,38.55812538138629,1.3,23.1,42.0,75.2,343.0
Firozabad,41741.0,78.54503006636162,60.47665217246762,5.2,35.1,59.9,103.3,663.3
Fyzabad,39887.0,73.10569107729334,50.42860882628408,6.3,34.3,60.4,99.7,478.4
Gaddi Annaram,38585.0,43.580285084877545,26.643318238263575,1.3,21.0,38.9,62.1,259.3
Gadwal,41333.0,36.02503810514601,20.116831358986246,2.6,18.9,33.0,49.8,209.8
Gajraula,41763.0,83.76306299834782,63.89628620514167,2.0,36.9,65.1,113.8,628.0
Gangarampur,39100.0,57.159112531969306,39.68655543601174,4.6,25.5,45.2,80.1,377.6
Gangoh,41800.0,72.54942464114832,48.78321876711095,5.8,37.5,59.7,95.0,753.3
Gaya,39653.0,68.20166948276298,52.08729291328554,2.7,32.9,54.1,89.3,847.4
Ghatal,41466.0,61.02337818935995,43.891863098532255,2.6,26.8,47.8,85.5,508.8
Ghaziabad,41780.0,101.28482527525134,84.21018794983851,2.8,41.1,73.6,137.3,999.1
Ghazipur,39884.0,75.05225905124861,54.37504693025874,5.0,34.4,60.3,101.6,659.4
Giridih,41298.0,64.7659244999758,43.05033956523344,5.1,32.4,53.9,86.7,472.4
Goalpara,32516.0,45.95313230409646,34.79796915100708,4.3,19.0,34.3,64.6,430.7
Gohadi,39841.0,73.07744032529304,53.281272484564475,3.8,33.8,56.9,96.7,689.7
Gohana,41511.0,76.39435571294356,54.961569247384055,5.7,38.4,60.8,98.8,694.4
Gola Gokarannath,40055.0,75.52239545624764,51.86252239485694,5.9,35.8,61.7,102.2,547.9
Gonda City,39902.0,72.91548543932635,50.062501366244305,5.5,34.4,60.4,99.1,462.9
Gopalganj,41771.0,66.80442771300663,49.638179289285404,4.9,28.5,52.9,93.2,565.4
Gorakhpur,41938.0,65.29162215651675,46.46408262747348,5.2,29.0,52.7,91.2,457.5
Gorakhpur.1,41795.0,66.27166048570403,45.42692889337334,4.5,36.2,54.9,82.8,632.1
Gosaba,41576.0,55.555425004810466,42.49296515054453,2.6,23.0,41.9,78.2,452.4
Goyerkata,32748.0,44.444344692805664,32.16137802550029,4.2,19.0,34.3,62.5,329.9
Greater Noida,41780.0,95.05208472953568,76.32722179103673,1.7,39.6,70.8,129.0,842.5
Guna,32633.0,53.66774737229185,32.49365885868248,6.3,28.5,46.2,71.5,434.6
Gurgaon,41781.0,93.03484119575882,70.28617476014998,4.0,43.0,71.9,123.6,769.3
Guwahati,31784.0,47.91512553486031,42.923959761964696,0.9,17.7,32.9,66.0,672.5
Gwalior,39716.0,69.99566169805621,51.07416748194313,2.4,32.5,54.8,92.6,782.5
Habiganj,39139.0,53.643130892460206,38.98045137101885,1.7,23.0,42.1,75.4,354.2
Habra,41997.0,62.8826582851156,48.809649514983484,2.1,25.9,46.9,88.5,623.1
Hajipur,41773.0,74.80144710698298,60.92791249635126,4.7,31.4,56.7,100.3,766.2
Haldia,41418.0,51.63389347626636,40.24082447044102,2.5,20.3,38.8,73.4,468.7
Halisahar,41996.0,64.2688637013049,49.51588999238251,2.0,26.6,48.4,90.4,649.2
Hansi,41795.0,71.29277305897834,49.84402191980348,6.2,38.0,58.1,89.8,583.7
Haora,41489.0,63.627873653257495,54.412832341896674,0.9,23.6,45.3,89.9,706.3
Hapur,41779.0,85.49791881088586,70.02437089375405,1.7,35.7,63.9,114.4,940.7
Harda Khas,30716.0,43.42091418153406,25.46086065298297,3.8,23.4,37.55,58.3,308.8
Hardoi,39928.0,82.37906231216188,58.81260014282416,5.6,37.6,65.9,111.2,609.4
Hasanpur,41763.0,84.13156142997391,64.1006182306522,2.1,36.9,65.3,114.6,616.1
Hathras,39015.0,79.81088940151226,60.71243288230495,6.3,36.0,61.3,105.0,668.5
Hazaribag,39248.0,65.65578118630249,43.088846566769796,5.7,34.1,54.6,86.8,528.3
Hinthada,16608.0,27.419032996146434,19.628362171451943,3.0,9.0,23.6,41.9,137.6
Hisar,41794.0,70.88147222089295,49.744953329707734,5.7,38.0,58.1,88.5,729.5
Hoshangabad,30693.0,44.10652917603363,27.767276457126854,3.2,23.0,37.2,58.5,305.3
Hpa-an,31965.0,26.821845768809638,19.672870935257603,2.6,10.6,21.0,39.8,148.0
Hugli,41994.0,64.36182668952708,49.53713128154328,2.0,26.7,48.5,90.6,651.3
Hyderabad,41334.0,43.90221488363091,26.829723824709475,1.2,21.1,39.4,63.0,263.4
Indore,32249.0,46.86938509721231,29.42958744552277,3.1,24.8,39.4,63.4,530.3
Ingraj Bazar,41367.0,60.78298160369377,41.13910055588759,4.9,27.7,49.1,85.4,430.9
Ishurdi,41824.0,63.80937858645753,45.23342502895474,4.3,28.2375,49.3,89.4,402.1
Islampur,35602.0,52.9177181057244,39.223202978997726,2.7,22.0,41.2,74.3,492.4
Itarsi,32290.0,45.84352740786621,28.434330760386853,3.4,23.6,38.9,61.7,296.9
Jabalpur,30657.0,49.86032879929543,37.039714636188826,2.4,22.4,39.4,67.1,455.9
Jagadhri,39035.0,67.4324221852184,43.47558564323955,4.9,36.1,56.6,88.5,611.0
Jagdalpur,37466.0,43.0380291464261,23.917754889641188,5.8,23.9,37.9,58.4,386.5
Jagtial,41335.0,40.10666626345712,22.808307502341762,3.6,20.65,37.1,55.8,218.6
Jahanabad,38455.0,76.95281497854636,59.744552735561015,4.6,34.5,59.4,103.3,793.0
Jahangirabad,41743.0,86.33510768272525,66.15797827870799,2.6,37.2,66.5,117.8,620.6
Jaigaon,32806.0,42.131236664024875,30.299181550221398,4.7,18.2,32.6,59.2,279.4
Jalaun,39615.0,73.63428499305819,53.64807165047096,6.2,33.4,57.8,98.4,568.8
Jalpaiguri,32818.0,46.66453165945518,34.08049620870743,3.7,19.8,36.0,65.5,381.8
Jamalpur,41244.0,58.700686160411216,42.31192792074974,1.9,25.5,44.9,82.3,331.7
Jamalpur.1,41668.0,65.73546726504752,46.230465257506474,4.9,29.9,53.0,91.4,534.3
Jamshedpur,40596.0,59.30979530002956,37.23751707586173,4.9,30.5,50.1,80.1,350.9
Jamui,38681.0,66.70778547607352,46.39775953968664,5.1,31.5,53.8,91.1,549.2
Jamuria,41483.0,65.31534484005496,44.0315197986942,3.4,31.3,54.3,89.7,675.3
Jangipur,41870.0,62.893020062096966,42.32714860698804,4.5,29.0,51.0,88.3,474.0
Jaora,32855.0,49.71527621366611,27.601820810398,5.5,29.3,44.7,64.6,499.2
Jatani,29133.0,46.60723921326331,29.791258924535736,4.1,23.7,38.7,63.0,272.1
Jaunpur,39831.0,74.83267680952022,54.829668292187826,4.5,34.3,60.2,101.1,648.3
Jessore,42011.0,63.210656732760455,46.500255703643,3.2,27.3,47.9,88.8,446.4
Jeypore,38699.0,43.04898834595209,24.251248570115173,5.6,24.2,37.3,57.9,452.2
Jhansi,39054.0,64.20304194192657,44.011586909718005,5.6,30.8,51.9,85.7,520.8
Jhargram,41452.0,57.92723390909968,37.85590600003833,3.9,28.0,47.5,80.0,373.5
Jharia,41291.0,63.63281707878231,43.87442516073814,2.5,31.8,53.0,83.8,510.2
Jharsuguda,30347.0,53.22181434738195,34.959301284343894,2.9,27.2,45.4,70.3,456.6
Jind,39072.0,72.81934889434889,53.22693198929235,5.0,37.6,58.7,92.4,867.4
Jorhat,27260.0,27.939719369038883,19.330147486052418,3.4,13.0,22.0,38.6,221.7
Joypur Hat,41020.0,58.425636274987816,40.605239365790275,5.1,26.2,45.8,81.9,364.3
Jumri Tilaiya,39705.0,67.36146706963859,45.99584766934905,5.1,34.0,55.1,89.4,617.9
Kairana,41799.0,77.68025550850498,55.86129040299812,5.7,38.2,61.8,102.1,763.1
Kaithal,41795.0,64.74315827252065,43.36627536432759,4.9,34.7,53.5,83.2,635.5
Kaliyaganj,38819.0,56.56726345346351,39.617265486107826,4.1,25.0,44.7,79.15,414.5
Kalna,41996.0,64.46615511001048,47.005219701408215,2.7,28.1,49.9,90.62499999999999,596.8
Kalyani,41996.0,64.17229259929518,48.93290962850786,2.2,26.9,48.5,90.3,635.1
Kamareddi,41336.0,40.28107944648732,22.96860014829176,3.3,20.4,37.1,56.9,193.0
Kamarhati,41677.0,64.64036758883798,53.01711506907774,1.3,25.1,47.4,90.8,723.2
Kanbe,18614.0,26.198624691092725,21.868404335771125,1.2,7.3,21.3,40.5,175.3
Kanchrapara,41996.0,64.28751785884369,49.00299404214942,2.1,27.0,48.6,90.4,638.1
Kandi,41993.0,64.39323220536757,43.70826811104206,4.0,29.6,52.2,90.5,539.9
Kannauj,39916.0,82.9963460767612,60.663395511987716,5.4,37.4,65.4,111.8,616.8
Kanpur,39713.0,85.65699896759246,70.19748984478065,1.3,36.5,63.3,114.0,803.2
Karimganj,30922.0,40.89691966884419,29.609737394896904,2.0,17.7,32.2,57.0,349.8
Karimnagar,41339.0,40.33605675028424,22.838184819742796,3.8,20.9,37.1,56.2,207.9
Karnal,41801.0,70.4834752757111,48.30589737047297,5.7,36.6,58.2,92.0,798.5
Kasganj,41741.0,81.2732589061115,60.01904279478057,5.5,36.5,63.5,109.3,541.0
Katihar,41262.0,60.27836992874801,41.54617593548767,4.3,27.0,48.6,84.7,459.5
Katoya,41996.0,64.74529359939042,44.86139318720481,3.5,29.3,51.8,91.2,567.2
Katras,41186.0,63.700361773418145,43.20947721647534,3.3,32.2,53.0,84.1875,503.2
Khagaul,41776.0,77.76546821141325,62.31133580805441,4.4,32.4,58.9,106.2,744.2
Khagrachhari,30851.0,45.588339113805056,32.53191317207165,3.1,19.3,36.5,64.9,305.6
Khammam,41339.0,37.85411475846053,22.586921111021827,3.2,19.5,33.3,52.3,211.2
Khandwa,32490.0,44.344773776546624,24.44582347762733,5.2,24.7,39.6,59.9,358.6
Kharagpur,41450.0,56.769987937273825,38.53682476870002,3.4,26.3,45.5,79.0,369.8
Khardah,41764.0,64.63758619863998,52.222578005901525,1.4,25.5,47.7,90.8,705.2
Khargone,34354.0,46.40532980147872,24.72592268070322,5.5,26.6,42.1,62.3,437.2
Khatauli,39073.0,82.94406495534001,62.95381651160574,4.0,37.6,64.7,110.9,675.5
Khulna,41990.0,60.49324362943559,44.60832131795712,3.3,26.1,45.7,85.0,379.1
Khurja,39015.0,87.11435345379982,67.60117454863789,3.0,37.1,66.7,118.3,632.8
